long_name,age,height_cm,weight_kg,nationality,league_rank,overall,potential,value_eur,wage_eur,preferred_foot,international_reputation,weak_foot,skill_moves,body_type,real_face,release_clause_eur,gk_diving,gk_handling,gk_kicking,gk_reflexes,gk_speed,gk_positioning,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,num_traits,Atk_effort,Def_effort,player_versatility
Kristoffer Klaesson,19,189,76,12,1.0,65,78,825000,500,0,1,2,1,1,No,825000,66.0,61.0,63.0,68.0,31.0,64.0,11,9,13,36,7,21,13,13,26,28,35,28,43,58,42,47,65,24,59,8,29,10,5,44,13,45,14,13,66,61,63,64,68,27,27,27,25,27,27,27,25,31,31,31,29,31,31,31,29,24,28,28,28,24,23,26,26,26,23,1,1,1,1
Đorđe Nikolić,23,195,91,36,1.0,65,75,675000,3000,1,1,5,1,1,No,675000,65.0,68.0,62.0,67.0,24.0,65.0,10,9,14,15,5,11,13,13,15,19,15,31,36,51,24,47,48,35,71,7,27,8,6,50,16,53,13,10,65,68,62,65,67,24,24,24,19,21,21,21,19,24,24,24,22,24,24,24,22,20,23,23,23,20,20,23,23,23,20,0,1,1,1
Peter Vindahl Jensen,22,195,89,24,1.0,65,74,650000,2000,1,1,3,1,1,No,650000,65.0,63.0,67.0,66.0,21.0,65.0,12,8,15,45,10,15,11,10,43,31,20,21,36,59,43,50,55,31,58,10,32,12,8,49,14,48,14,12,65,63,67,65,66,27,27,27,25,27,27,27,25,33,33,33,29,36,36,36,29,26,33,33,33,26,25,28,28,28,25,1,1,1,1
Tim Rönning,21,201,88,10,1.0,65,74,650000,800,1,1,3,1,0,No,650000,65.0,67.0,63.0,69.0,18.0,65.0,15,10,10,45,20,12,32,11,47,16,15,21,29,49,44,47,42,43,59,18,27,10,9,42,12,36,10,11,65,67,63,65,69,25,25,25,21,23,23,23,21,29,29,29,27,33,33,33,27,24,31,31,31,24,23,24,24,24,23,0,1,1,1
Alex Palmer,23,191,85,0,3.0,65,73,625000,2000,1,1,3,1,1,No,625000,66.0,65.0,64.0,66.0,32.0,64.0,14,14,12,30,16,21,15,17,22,25,26,37,34,51,34,48,42,27,43,14,20,9,7,18,27,31,12,14,66,65,64,64,66,27,27,27,23,24,24,24,23,26,26,26,26,25,25,25,26,24,24,24,24,24,23,22,22,22,23,0,1,1,1
Joan Femenías del Salto,23,187,79,2,2.0,65,73,625000,2000,1,1,2,1,1,No,625000,65.0,66.0,59.0,67.0,20.0,60.0,14,9,14,16,9,10,10,11,25,11,18,22,23,64,36,44,51,21,66,8,19,14,7,33,17,44,16,11,65,66,59,60,67,24,24,24,17,20,20,20,17,21,21,21,21,23,23,23,21,20,24,24,24,20,20,24,24,24,20,0,1,1,1
Luis Iván Cartés Maidana,22,180,76,16,1.0,65,73,625000,500,1,1,2,1,2,No,625000,63.0,62.0,67.0,67.0,39.0,58.0,14,18,16,21,17,16,13,20,25,22,30,46,47,72,32,50,42,23,54,16,19,16,12,30,23,37,15,15,63,62,67,58,67,31,31,31,25,27,27,27,25,28,28,28,27,27,27,27,27,26,27,27,27,26,26,26,26,26,26,0,1,1,1
Marko Marić,24,191,89,35,1.0,65,72,575000,1000,0,1,3,1,1,No,575000,65.0,64.0,65.0,68.0,42.0,66.0,17,13,15,23,16,19,17,17,20,18,44,41,35,53,53,49,59,30,68,19,24,19,7,42,16,43,13,19,65,64,65,66,68,28,28,28,25,26,26,26,25,28,28,28,27,27,27,27,27,27,27,27,27,27,27,28,28,28,27,1,1,1,1
Connal Trueman,24,186,74,0,3.0,65,72,575000,2000,1,1,3,1,0,No,575000,66.0,64.0,61.0,68.0,45.0,63.0,18,15,23,41,12,21,16,20,46,29,47,44,39,56,65,46,55,35,40,17,29,23,12,37,26,33,22,24,66,64,61,63,68,31,31,31,29,30,30,30,29,34,34,34,34,36,36,36,34,33,35,35,35,33,33,32,32,32,33,0,1,1,1
Javier Rojas Iguaro,24,185,86,34,1.0,65,71,550000,500,1,1,2,1,1,No,550000,63.0,65.0,68.0,64.0,26.0,62.0,10,7,10,27,7,11,8,10,25,18,29,24,25,65,39,51,59,24,44,4,26,8,8,29,16,26,9,10,63,65,68,62,64,24,24,24,20,22,22,22,20,24,24,24,24,25,25,25,24,22,24,24,24,22,21,22,22,22,21,0,1,1,1
Christy Pym,25,182,70,0,3.0,65,70,525000,3000,1,1,4,1,2,No,525000,66.0,63.0,65.0,69.0,46.0,64.0,11,13,15,32,17,19,15,33,34,24,44,48,49,53,65,49,60,28,44,16,21,14,11,14,23,48,18,17,66,63,65,64,69,29,29,29,25,26,26,26,25,28,28,28,28,27,27,27,28,27,27,27,27,27,27,26,26,26,27,0,1,1,1
Pablo Eduardo Sisniega Fink,24,192,79,13,1.0,65,70,550000,1000,1,1,2,1,1,No,550000,63.0,68.0,64.0,63.0,45.0,65.0,20,11,21,33,14,24,27,21,46,35,41,48,45,58,32,48,60,39,61,18,24,18,7,31,23,46,23,22,63,68,64,65,63,31,31,31,29,29,29,29,29,33,33,33,33,35,35,35,33,32,33,33,33,32,31,30,30,30,31,0,1,1,1
髙丘 陽平,24,181,72,6,1.0,65,70,550000,850,1,1,2,1,1,No,550000,66.0,64.0,58.0,68.0,24.0,59.0,13,9,14,25,7,11,14,13,22,15,21,26,33,64,41,44,51,18,61,6,21,14,6,32,17,21,13,14,66,64,58,59,68,24,24,24,19,21,21,21,19,24,24,24,22,24,24,24,22,22,25,25,25,22,22,26,26,26,22,0,1,1,1
Juan Ángel Espínola González,25,186,100,29,1.0,65,70,525000,500,1,1,2,1,1,No,525000,63.0,68.0,66.0,66.0,29.0,65.0,15,10,12,18,8,12,15,13,35,19,25,33,28,55,60,50,52,27,57,9,26,14,7,23,14,24,15,14,63,68,66,65,66,25,25,25,19,21,21,21,19,22,22,22,23,25,25,25,23,23,25,25,25,23,22,24,24,24,22,0,1,1,1
Matt Ingram,26,190,82,0,3.0,65,69,500000,2000,0,1,3,1,1,No,500000,69.0,64.0,62.0,68.0,37.0,63.0,19,13,17,19,12,12,11,14,32,24,34,39,57,53,28,47,57,21,57,13,16,11,10,23,18,46,11,11,69,64,62,63,68,27,27,27,23,23,23,23,23,25,25,25,25,25,25,25,25,23,24,24,24,23,23,24,24,24,23,0,1,1,1
Thomas Castella,27,185,76,30,1.0,65,69,500000,4000,1,1,2,1,1,No,500000,66.0,63.0,62.0,70.0,44.0,65.0,16,14,19,32,13,20,15,15,19,21,48,41,37,53,55,47,67,23,60,15,17,17,12,20,25,29,19,19,66,63,62,65,70,30,30,30,25,26,26,26,25,27,27,27,28,26,26,26,28,28,27,27,27,28,28,29,29,29,28,0,1,1,1
Felix Dornebusch,25,193,89,1,2.0,65,69,525000,3000,1,1,2,1,1,No,525000,67.0,60.0,54.0,66.0,41.0,64.0,13,18,14,28,19,17,15,14,20,19,40,42,31,63,42,41,53,29,78,14,19,25,19,31,21,28,19,12,67,60,54,64,66,31,31,31,26,27,27,27,26,29,29,29,28,28,28,28,28,28,30,30,30,28,28,32,32,32,28,1,1,1,1
邹德海,27,187,73,11,1.0,65,69,500000,4000,1,1,3,1,0,No,500000,62.0,64.0,60.0,67.0,45.0,65.0,18,16,19,30,14,14,13,11,23,24,49,42,30,65,53,45,62,33,64,14,21,20,17,21,21,23,14,12,62,64,60,65,67,32,32,32,26,28,28,28,26,28,28,28,29,28,28,28,29,29,29,29,29,29,29,30,30,30,29,0,1,1,1
Lee Nicholls,27,191,85,0,3.0,65,68,475000,2000,1,1,3,1,1,No,475000,67.0,62.0,63.0,69.0,41.0,61.0,18,11,15,34,10,12,11,15,33,29,40,42,42,63,38,47,64,29,55,14,25,9,5,40,23,44,11,13,67,62,63,61,69,28,28,28,26,27,27,27,26,31,31,31,30,31,31,31,30,27,28,28,28,27,26,26,26,26,26,1,1,1,1
Clément Diop Degoud,26,185,77,37,1.0,65,68,500000,2000,1,1,2,1,0,Yes,500000,68.0,63.0,60.0,67.0,43.0,63.0,6,7,8,23,9,11,6,7,32,23,44,42,53,58,33,45,73,32,61,6,22,13,11,38,22,43,10,13,68,63,60,63,67,26,26,26,23,24,24,24,23,28,28,28,27,28,28,28,27,24,26,26,26,24,24,25,25,25,24,1,1,1,1
Gaspar Andrés Servio,28,185,86,4,1.0,65,68,500000,500,1,1,2,1,1,No,500000,65.0,64.0,65.0,67.0,47.0,61.0,19,19,13,34,15,17,15,17,33,31,48,47,34,65,50,49,57,32,51,16,19,22,16,20,50,33,17,13,65,64,65,61,67,32,32,32,29,30,30,30,29,31,31,31,32,31,31,31,32,31,31,31,31,31,30,29,29,29,30,0,1,1,1
윤평국 尹平国,28,189,88,18,1.0,65,68,500000,1000,1,1,3,1,1,No,500000,64.0,65.0,63.0,65.0,47.0,63.0,20,16,16,27,16,12,16,17,25,24,45,49,32,58,46,47,54,25,75,11,19,24,18,54,25,31,11,12,64,65,63,63,65,31,31,31,28,29,29,29,28,32,32,32,31,31,31,31,31,27,29,29,29,27,27,28,28,28,27,0,1,1,1
Tomáš Holý,28,206,102,41,3.0,65,67,475000,3000,1,1,3,1,1,No,475000,68.0,60.0,56.0,69.0,28.0,65.0,13,18,18,18,20,16,20,14,29,19,22,33,35,58,41,42,48,19,60,16,21,15,9,30,23,43,25,25,68,60,56,65,69,27,27,27,22,23,23,23,22,25,25,25,24,26,26,26,24,25,27,27,27,25,25,29,29,29,25,2,1,1,1
Benjamin Kevin Siegrist,28,194,85,30,1.0,65,67,475000,2000,1,1,3,1,0,No,475000,65.0,65.0,64.0,64.0,36.0,64.0,11,11,12,14,12,10,16,12,15,20,40,33,39,64,30,48,49,40,62,12,38,27,13,47,32,39,12,12,65,65,64,64,64,27,27,27,23,25,25,25,23,27,27,27,26,27,27,27,26,26,28,28,28,26,26,28,28,28,26,0,1,1,1
Yhonatann Alexander Yustiz Linarez,28,183,74,31,1.0,65,67,475000,500,0,1,2,1,1,No,475000,61.0,63.0,62.0,65.0,38.0,65.0,13,20,10,22,16,17,14,14,23,21,43,33,45,68,50,47,55,25,45,16,25,16,11,43,33,46,15,14,61,63,62,65,65,29,29,29,26,28,28,28,26,30,30,30,28,29,29,29,28,26,27,27,27,26,25,25,25,25,25,2,1,1,1
Adrian Lis,28,192,78,14,1.0,65,67,475000,1000,1,1,3,1,1,No,475000,67.0,63.0,56.0,68.0,41.0,62.0,12,9,15,26,8,11,17,13,22,14,44,38,37,62,33,42,51,22,71,11,33,12,10,55,18,52,16,16,67,63,56,62,68,27,27,27,23,25,25,25,23,29,29,29,27,28,28,28,27,24,27,27,27,24,24,28,28,28,24,1,1,1,1
Pol Freixanet Viejo,28,191,80,2,2.0,65,66,450000,2000,1,1,2,1,1,No,450000,64.0,69.0,59.0,66.0,48.0,60.0,35,13,11,26,12,17,34,20,32,29,46,49,45,64,41,44,60,42,66,10,16,28,14,25,24,46,19,16,64,69,59,60,66,30,30,30,29,28,28,28,29,29,29,29,33,31,31,31,33,34,31,31,31,34,32,30,30,30,32,0,1,1,1
René Vollath,30,185,83,1,3.0,65,66,425000,1000,1,1,3,1,1,No,425000,64.0,62.0,60.0,67.0,39.0,66.0,10,9,14,23,11,17,12,12,21,16,37,41,38,64,43,45,68,36,53,12,30,14,8,31,19,43,9,15,64,62,60,66,67,26,26,26,23,24,24,24,23,26,26,26,26,26,26,26,26,25,25,25,25,25,24,25,25,25,24,1,1,1,1
Glenn Morris,36,183,70,0,4.0,65,65,90000,1000,1,1,3,1,1,No,90000,67.0,63.0,62.0,66.0,33.0,64.0,20,15,14,29,12,14,13,15,30,30,32,34,56,55,55,47,67,30,63,17,30,17,14,41,29,56,22,24,67,63,62,64,66,29,29,29,27,27,27,27,27,31,31,31,29,31,31,31,29,28,31,31,31,28,28,30,30,30,28,1,1,1,1
Simon Pontdemé,32,186,81,3,2.0,65,65,325000,1000,1,1,2,1,1,No,325000,65.0,66.0,65.0,65.0,34.0,64.0,14,9,13,19,9,10,10,15,15,22,34,34,57,59,52,49,72,31,68,8,42,23,13,13,14,50,8,9,65,66,65,64,65,27,27,27,21,22,22,22,21,22,22,22,23,22,22,22,23,24,25,25,25,24,24,28,28,28,24,2,1,1,1
Richard O'Donnell,31,188,85,0,4.0,65,65,350000,4000,0,1,3,1,1,No,350000,62.0,64.0,62.0,65.0,52.0,64.0,23,19,11,26,12,14,11,11,34,33,54,50,56,68,51,47,65,32,73,11,29,16,12,48,14,47,19,19,62,64,62,64,65,33,33,33,31,31,31,31,31,34,34,34,34,33,33,33,34,31,32,32,32,31,30,30,30,30,30,1,1,1,1
Jonas Deumeland,32,191,87,1,1.0,65,65,325000,900,1,1,2,1,1,No,325000,65.0,65.0,66.0,66.0,49.0,62.0,8,8,9,23,9,9,10,9,22,24,52,47,47,56,35,50,62,24,72,9,17,24,12,17,24,54,9,9,65,65,66,62,66,28,28,28,23,24,24,24,23,25,25,25,25,24,24,24,25,26,27,27,27,26,26,28,28,28,26,0,1,1,1
Mario Daniel Vega,36,188,91,4,1.0,65,65,90000,1000,0,1,2,1,1,No,90000,66.0,62.0,64.0,64.0,25.0,62.0,9,15,13,20,12,14,12,20,20,15,21,29,63,64,42,48,60,45,73,17,33,14,11,32,30,45,15,14,66,62,64,62,64,28,28,28,22,23,23,23,22,26,26,26,24,26,26,26,24,25,27,27,27,25,24,28,28,28,24,0,1,1,1
김호준 金浩军,36,190,90,18,1.0,65,65,90000,950,1,1,3,1,1,No,90000,64.0,63.0,66.0,64.0,52.0,65.0,10,13,13,31,10,16,11,14,32,15,54,51,53,60,52,50,50,23,68,12,21,24,11,10,17,41,10,14,64,63,66,65,64,30,30,30,24,25,25,25,24,26,26,26,27,25,25,25,27,27,27,27,27,27,27,28,28,28,27,1,1,1,1
Álvaro Campos Estellés,33,187,82,2,2.0,65,65,300000,2000,1,1,3,1,1,No,300000,69.0,66.0,61.0,64.0,31.0,62.0,19,5,9,15,4,5,20,22,19,16,23,38,32,59,67,46,54,35,34,4,33,22,14,30,15,31,10,9,69,66,61,62,64,22,22,22,19,20,20,20,19,21,21,21,23,23,23,23,23,25,25,25,25,25,24,24,24,24,24,0,1,1,1
Daniel Batz,29,190,84,1,3.0,65,65,375000,1000,1,1,3,1,1,No,375000,66.0,63.0,66.0,67.0,34.0,59.0,16,11,20,31,12,19,10,10,22,23,36,33,44,64,38,50,61,29,61,12,23,14,12,28,23,35,17,12,66,63,66,59,67,30,30,30,25,27,27,27,25,28,28,28,28,28,28,28,28,28,29,29,29,28,27,30,30,30,27,0,1,1,1
Jimmy Maurer,31,189,84,9,1.0,65,65,350000,2000,0,1,3,1,1,No,350000,67.0,64.0,65.0,69.0,40.0,67.0,15,11,28,27,11,13,15,12,35,25,39,40,39,44,39,49,56,35,67,17,36,16,12,40,14,44,13,16,67,64,65,67,69,29,29,29,24,26,26,26,24,28,28,28,28,29,29,29,28,26,29,29,29,26,26,29,29,29,26,1,1,1,1
이창근 李灿东,26,186,75,18,1.0,65,65,400000,1000,1,1,3,1,1,No,400000,66.0,64.0,63.0,66.0,46.0,62.0,14,19,16,30,15,16,12,15,24,21,45,46,61,64,55,47,53,22,60,19,24,22,13,43,24,60,18,14,66,64,63,62,66,31,31,31,28,29,29,29,28,32,32,32,30,30,30,30,30,28,29,29,29,28,28,29,29,29,28,1,1,1,1
Thomas Korsgaard Mikkelsen,36,190,83,24,1.0,65,65,90000,2000,1,1,3,1,1,No,90000,66.0,65.0,67.0,63.0,40.0,66.0,11,14,12,48,20,22,15,16,47,28,37,43,32,55,40,50,58,27,71,12,24,25,14,58,30,41,17,11,66,65,67,66,63,32,32,32,29,32,32,32,29,37,37,37,34,39,39,39,34,29,36,36,36,29,28,31,31,31,28,0,1,1,1
董春雨,29,187,81,11,1.0,65,65,375000,3000,0,1,3,1,1,No,375000,65.0,64.0,66.0,65.0,46.0,65.0,19,11,13,30,11,13,17,18,43,23,42,49,43,60,65,50,50,40,30,16,35,16,20,64,21,22,11,14,65,64,66,65,65,29,29,29,28,30,30,30,28,35,35,35,33,36,36,36,33,29,31,31,31,29,29,26,26,26,29,2,1,1,1
六反 勇治,33,188,80,6,1.0,65,65,300000,1000,1,1,1,1,0,No,300000,64.0,64.0,58.0,63.0,33.0,63.0,12,8,20,16,8,7,14,13,25,19,31,34,39,69,31,44,64,27,56,6,22,9,7,46,16,40,11,12,64,64,58,63,63,26,26,26,21,23,23,23,21,26,26,26,24,26,26,26,24,23,25,25,25,23,23,26,26,26,23,0,1,1,1
饭仓 大樹,34,181,75,6,1.0,65,65,240000,2000,1,1,2,1,0,Yes,240000,65.0,64.0,58.0,64.0,25.0,65.0,11,9,14,23,9,17,14,11,27,13,26,24,37,59,45,44,63,41,60,5,23,14,5,27,10,37,14,11,65,64,58,65,64,24,24,24,19,21,21,21,19,23,23,23,23,25,25,25,23,24,26,26,26,24,23,26,26,26,23,2,1,1,1
大久保 択生,30,190,92,6,1.0,65,65,375000,1000,1,1,1,1,1,No,375000,65.0,57.0,58.0,69.0,28.0,65.0,12,5,11,29,4,9,13,9,24,23,21,34,28,63,28,44,37,43,68,4,25,12,4,50,20,31,12,11,65,57,58,65,69,24,24,24,21,23,23,23,21,27,27,27,26,30,30,30,26,25,28,28,28,25,24,25,25,25,24,1,1,1,1
Matěj Kovář,20,192,83,41,3.0,64,80,850000,1000,1,1,4,1,0,No,850000,62.0,63.0,65.0,63.0,29.0,62.0,12,9,11,44,10,9,15,11,40,28,24,33,31,62,22,49,40,28,55,6,25,12,7,49,15,55,14,10,62,63,65,62,63,27,27,27,24,27,27,27,24,32,32,32,29,34,34,34,29,26,31,31,31,26,25,25,25,25,25,1,1,1,1
Ron-Thorben Hoffmann,21,192,84,1,3.0,64,77,725000,1000,1,1,3,1,1,No,725000,61.0,62.0,66.0,67.0,25.0,64.0,13,8,12,21,9,9,12,11,31,14,23,27,31,56,24,50,42,14,52,11,19,23,3,31,10,26,9,13,61,62,66,64,67,23,23,23,18,20,20,20,18,22,22,22,21,24,24,24,21,22,25,25,25,22,22,24,24,24,22,0,1,1,1
Jack Walton,22,184,77,0,2.0,64,73,550000,2000,1,1,2,1,1,No,550000,64.0,62.0,60.0,63.0,34.0,65.0,13,16,20,25,11,19,14,20,19,24,34,34,32,58,40,45,53,25,43,14,26,13,5,31,27,36,19,20,64,62,60,65,63,28,28,28,24,25,25,25,24,27,27,27,26,26,26,26,26,26,26,26,26,26,26,27,27,27,26,0,1,1,1
Mateusz Lis,23,192,83,14,1.0,64,72,500000,900,1,1,2,1,0,No,500000,68.0,58.0,55.0,70.0,27.0,63.0,10,9,12,22,8,13,11,11,16,12,27,27,37,54,35,41,33,26,57,9,19,8,6,28,16,35,10,11,68,58,55,63,70,23,23,23,19,20,20,20,19,22,22,22,21,22,22,22,21,20,21,21,21,20,20,21,21,21,20,0,1,1,1
Avdo Spahić,23,190,77,999,3.0,64,72,500000,900,1,1,3,1,0,No,500000,63.0,62.0,60.0,66.0,29.0,69.0,11,7,12,40,6,15,16,12,35,25,26,32,25,53,28,45,45,25,41,6,34,10,8,40,18,25,10,13,63,62,60,69,66,25,25,25,23,25,25,25,23,29,29,29,27,31,31,31,27,24,28,28,28,24,23,23,23,23,23,1,1,1,1
Octavian Gabriel Vâlceanu,23,187,77,21,1.0,64,72,500000,950,1,1,2,1,0,No,500000,66.0,65.0,60.0,63.0,27.0,66.0,11,6,13,23,5,9,13,13,17,17,19,33,39,50,45,45,56,19,37,8,27,14,7,39,10,38,13,10,66,65,60,66,63,22,22,22,19,21,21,21,19,23,23,23,21,24,24,24,21,20,22,22,22,20,20,21,21,21,20,0,1,1,1
Timo Königsmann,23,186,86,1,3.0,64,71,475000,700,1,1,3,1,2,No,475000,66.0,65.0,57.0,69.0,47.0,59.0,18,15,19,39,15,21,21,16,34,26,48,47,35,55,53,43,57,34,76,18,24,15,9,47,22,30,12,9,66,65,57,59,69,31,31,31,29,30,30,30,29,34,34,34,33,34,34,34,33,28,31,31,31,28,27,28,28,28,27,2,1,1,1
Luke McGee,24,193,83,0,4.0,64,70,475000,3000,1,1,3,1,0,No,475000,69.0,59.0,53.0,70.0,39.0,59.0,15,15,14,30,14,15,12,13,21,28,33,43,35,59,46,40,53,26,53,13,25,14,7,35,31,40,16,21,69,59,53,59,70,28,28,28,25,26,26,26,25,29,29,29,28,28,28,28,28,27,28,28,28,27,27,27,27,27,27,0,1,1,1
Indy Groothuizen,23,190,88,7,1.0,64,70,475000,2000,1,1,4,1,1,No,475000,62.0,63.0,66.0,67.0,24.0,62.0,16,11,20,30,14,14,12,15,26,22,28,20,23,61,28,50,57,25,65,8,17,18,9,45,14,51,11,13,62,63,66,62,67,28,28,28,23,25,25,25,23,28,28,28,26,29,29,29,26,24,27,27,27,24,23,26,26,26,23,0,1,1,1
Andrés Ulises Mehring,26,191,82,4,1.0,64,69,450000,500,1,1,2,1,1,No,450000,60.0,61.0,63.0,64.0,47.0,65.0,19,12,13,28,18,21,12,16,26,26,45,49,35,67,46,47,56,44,69,20,21,24,13,32,24,35,20,15,60,61,63,65,64,31,31,31,28,29,29,29,28,31,31,31,32,31,31,31,32,32,32,32,32,32,32,31,31,31,32,0,1,1,1
Jack Bonham,26,193,95,19,3.0,64,68,425000,2000,1,1,3,1,1,No,425000,65.0,63.0,67.0,65.0,44.0,66.0,12,19,17,46,20,19,13,17,44,22,43,44,32,46,43,50,47,41,66,12,22,22,13,46,16,60,11,11,65,63,67,66,65,31,31,31,27,29,29,29,27,34,34,34,32,35,35,35,32,29,34,34,34,29,28,29,29,29,28,1,1,1,1
Lukas Jonsson,27,191,95,10,1.0,64,68,400000,950,1,1,2,1,1,No,400000,63.0,62.0,62.0,65.0,37.0,64.0,13,9,13,23,9,11,13,13,23,19,35,39,43,56,32,47,35,33,74,8,24,8,5,42,17,42,14,10,63,62,62,64,65,26,26,26,22,23,23,23,22,26,26,26,25,26,26,26,25,24,26,26,26,24,24,26,26,26,24,0,1,1,1
Alexandru Buzbuchi,26,190,80,21,1.0,64,67,400000,2000,1,1,2,1,1,No,400000,67.0,62.0,60.0,63.0,36.0,61.0,18,14,15,22,19,14,16,17,16,13,35,37,40,63,35,45,19,35,37,17,19,22,20,29,23,21,11,18,67,62,60,61,63,28,28,28,24,25,25,25,24,26,26,26,26,25,25,25,26,26,24,24,24,26,26,23,23,23,26,0,1,1,1
Jeremías Young Romanutti,22,180,74,4,1.0,64,67,425000,500,1,1,2,1,1,No,425000,64.0,62.0,63.0,63.0,41.0,62.0,20,13,18,24,16,13,14,20,27,23,42,40,38,65,37,47,51,36,69,13,23,23,16,60,15,57,15,11,64,62,63,62,63,30,30,30,27,29,29,29,27,32,32,32,31,33,33,33,31,29,31,31,31,29,28,29,29,29,28,0,1,1,1
Andrés Felipe Mosquera Marmolejo,28,186,78,20,1.0,64,65,375000,500,0,1,2,1,1,No,375000,69.0,57.0,64.0,67.0,43.0,62.0,15,15,11,37,13,14,20,15,24,17,45,42,35,57,58,48,66,33,58,13,20,16,15,28,25,43,13,12,69,57,64,62,67,29,29,29,25,26,26,26,25,28,28,28,28,28,28,28,28,27,28,28,28,27,27,27,27,27,27,0,1,1,1
Helge Valvatne Sandvik,30,183,75,12,1.0,64,65,350000,900,1,1,2,1,1,No,350000,62.0,64.0,63.0,62.0,41.0,62.0,21,15,17,24,20,22,20,21,29,28,34,46,41,63,57,47,53,43,56,20,21,22,8,32,20,42,19,22,62,64,63,62,62,30,30,30,27,28,28,28,27,30,30,30,31,31,31,31,31,31,30,30,30,31,30,28,28,28,30,0,1,1,1
Dean Gerken,35,183,77,0,4.0,64,64,120000,2000,1,1,3,1,1,No,120000,64.0,62.0,64.0,63.0,49.0,64.0,13,16,17,30,17,16,16,20,31,22,46,51,58,64,65,48,65,40,70,15,30,21,11,45,16,44,13,12,64,62,64,64,63,31,31,31,28,29,29,29,28,32,32,32,31,32,32,32,31,28,30,30,30,28,28,29,29,29,28,1,1,1,1
Antonio Reguero Chapinal,37,187,89,2,1.0,64,64,45000,500,1,1,3,1,1,No,45000,62.0,61.0,60.0,63.0,36.0,66.0,8,13,14,26,8,20,12,11,28,30,33,39,52,68,57,45,54,28,78,13,41,15,9,12,33,63,9,9,62,61,60,66,63,30,30,30,25,26,26,26,25,27,27,27,27,27,27,27,27,26,29,29,29,26,25,30,30,30,25,0,1,1,1
Scott Brown,35,188,87,0,4.0,64,64,120000,2000,1,1,1,1,1,No,120000,64.0,62.0,60.0,64.0,51.0,63.0,11,15,12,24,14,14,12,11,25,23,52,50,63,65,46,45,64,28,56,15,27,24,13,25,19,60,12,17,64,62,60,63,64,30,30,30,26,27,27,27,26,29,29,29,28,27,27,27,28,28,29,29,29,28,29,29,29,29,29,1,1,1,1
Leao Butrón Gotuzzo,43,184,82,33,1.0,64,64,45000,500,1,1,3,1,1,No,45000,63.0,60.0,61.0,62.0,23.0,67.0,7,9,13,35,5,5,16,12,25,25,22,23,26,60,49,46,69,31,62,8,25,22,9,31,27,54,22,21,63,60,61,67,62,26,26,26,20,23,23,23,20,26,26,26,24,29,29,29,24,27,31,31,31,27,27,31,31,31,27,1,1,1,1
Erik Domaschke,34,188,86,1,3.0,64,64,200000,650,1,1,2,1,1,No,200000,65.0,64.0,64.0,63.0,38.0,61.0,11,10,13,23,10,19,10,12,22,22,36,40,41,63,53,48,62,24,69,12,29,13,15,46,22,38,15,10,65,64,64,61,63,29,29,29,25,27,27,27,25,30,30,30,28,29,29,29,28,24,26,26,26,24,23,26,26,26,23,0,1,1,1
Josué Daniel Ayala,32,184,85,4,1.0,64,64,275000,3000,0,1,2,1,1,No,275000,66.0,65.0,65.0,66.0,35.0,58.0,11,11,10,20,8,9,10,9,22,21,33,36,37,58,40,49,58,26,54,10,17,15,17,37,19,44,7,8,66,65,65,58,66,27,27,27,22,24,24,24,22,26,26,26,25,26,26,26,25,22,24,24,24,22,22,23,23,23,22,2,1,1,1
Luis Enrique Delgado Mantilla,39,187,85,20,1.0,64,64,45000,500,1,1,3,1,1,No,45000,58.0,62.0,64.0,64.0,48.0,69.0,14,19,16,25,19,13,50,55,17,20,42,53,50,63,56,48,59,24,40,15,18,19,17,35,22,52,15,19,58,62,64,69,64,30,30,30,27,28,28,28,27,29,29,29,28,27,27,27,28,27,26,26,26,27,28,26,26,26,28,1,1,1,1
Martin Polaček,30,198,95,999,1.0,64,64,300000,1000,1,1,2,1,2,No,300000,67.0,60.0,72.0,61.0,38.0,64.0,19,19,14,28,12,13,11,16,22,19,35,41,32,62,28,54,49,31,75,17,16,22,17,49,18,28,17,18,67,60,72,64,61,32,32,32,26,28,28,28,26,30,30,30,29,30,30,30,29,28,30,30,30,28,28,30,30,30,28,2,1,1,1
菅野 孝宪,36,179,75,6,1.0,64,64,80000,800,1,1,2,1,1,No,80000,65.0,62.0,57.0,63.0,33.0,64.0,14,5,12,18,5,14,11,12,22,10,37,30,59,59,68,43,75,25,51,9,16,10,8,34,15,24,14,14,65,62,57,64,63,23,23,23,20,21,21,21,20,24,24,24,23,23,23,23,23,22,22,22,22,22,22,23,23,23,22,1,1,1,1
